"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 05 17:28:10 CEST 2024","Mon Aug 05 17:28:10 CEST 2024","0","Default Suite","PhoneBook_QA43","experiments.TriangleTest","experiments.TriangleTest","testScaleneTriangle","testScaleneTriangle","Scalene Triangle test"
"passed","Mon Aug 05 17:28:10 CEST 2024","Mon Aug 05 17:28:10 CEST 2024","0","Default Suite","PhoneBook_QA43","experiments.TriangleTest","experiments.TriangleTest","testInvalidTriangleSumOfTwoSidesLessThanThird","testInvalidTriangleSumOfTwoSidesLessThanThird",""
"passed","Mon Aug 05 17:28:10 CEST 2024","Mon Aug 05 17:28:10 CEST 2024","1","Default Suite","PhoneBook_QA43","experiments.TriangleTest","experiments.TriangleTest","testInvalidTriangleSumOfTwoSidesEqualsThird","testInvalidTriangleSumOfTwoSidesEqualsThird",""
"passed","Mon Aug 05 17:28:10 CEST 2024","Mon Aug 05 17:28:10 CEST 2024","0","Default Suite","PhoneBook_QA43","experiments.TriangleTest","experiments.TriangleTest","testInvalidTriangleZeroSides","testInvalidTriangleZeroSides",""
"passed","Mon Aug 05 17:28:10 CEST 2024","Mon Aug 05 17:28:10 CEST 2024","1","Default Suite","PhoneBook_QA43","experiments.TriangleTest","experiments.TriangleTest","testIsoscelesTriangle","testIsoscelesTriangle","Isosceles Triangle test"
"passed","Mon Aug 05 17:28:10 CEST 2024","Mon Aug 05 17:28:10 CEST 2024","1","Default Suite","PhoneBook_QA43","experiments.TriangleTest","experiments.TriangleTest","testInvalidTriangleNegativeSides","testInvalidTriangleNegativeSides",""
"passed","Mon Aug 05 17:28:10 CEST 2024","Mon Aug 05 17:28:10 CEST 2024","38","Default Suite","PhoneBook_QA43","experiments.TriangleTest","experiments.TriangleTest","testEquilateralTriangle","testEquilateralTriangle","Equilateral Triangle test"
